"cat_id","name","title","attribution","description"
"1","Feed Compass","[Feed Compass](https://vincode.io/feed-compass/)","[Maurice Parker](https://vincode.io/blog/)","A Mac app to help you find, preview, and subscribe to blogs."
"1","Feed Hawk","[Feed Hawk](https://www.goldenhillsoftware.com/feed-hawk/)","[Golden Hill Software](https://www.goldenhillsoftware.com/blog/)","Subscribe to a web site’s RSS feed from within Safari. "
"1","Fiery Feeds","[Fiery Feeds](http://cocoacake.net/apps/fiery/)","[CocoaCake](http://blog.cocoacake.net)","A feature-loaded reader for iOS. "
"1","Headlines","[Headlines](https://itunes.apple.com/us/app/headlines-rss/id904059445?mt=8)","[Maciej Rutkowski](https://macbirdie.net)","A simple and private reader for iOS with feed sync just around the corner."
"1","NetNewsWire","[NetNewsWire](https://ranchero.com/netnewswire/)","[Brent Simmons](https://inessential.com)","A free and open source feed reader for macOS. "
"1","Newsblur","[Newsblur](https://newsblur.com)","[Samuel Clay](http://twitter.com/samuelclay)","NewsBlur is a personal news reader that brings people together to talk about the world. "
"1","News Explorer","[News Explorer](https://betamagic.nl/products/newsexplorer.html)","[Betamagic](https://betamagic.nl/blog.html)","A news reader with syncing, themes, and support for Twitter & JSON feeds."
"1","ReadKit","[ReadKit](https://readkitapp.com/)","Balazs Varkonyi","A Mac reading app that collects from multiple sources: Instapaper; Pinboard; Pocket; and RSS with support for various sync services."
"1","Reeder","[Reeder](https://reederapp.com/)","Silvio Rizzi","A news reader for the Mac & iOS with support for various sync services. "
"1","Unread","[Unread](https://www.goldenhillsoftware.com/unread/)","[Golden Hill Software](https://www.goldenhillsoftware.com/blog/)","A beautiful RSS reader for iOS that supports syncing."
"1","ViennaRSS","[ViennaRSS](https://www.vienna-rss.com/)","[The ViennaRSS project](https://www.vienna-rss.com/blog)","An open source reader that&rsquo;s been around for quite some time and has support for plugins."
"2","Feeder","[Feeder](https://reinventedsoftware.com/feeder/)","[Reinvented Software](https://reinventedsoftware.com/blog/)","Create, edit and publish RSS feeds and iTunes Podcasts with Feeder"
"2","MarsEdit","[MarsEdit](https://www.red-sweater.com/marsedit/)","[Red Sweater](https://red-sweater.com/blog/)","Write, preview, and publish to just about anywhere from your Mac"
"2","Mastodon","[Mastodon](https://joinmastodon.org)","[Eugen Rochko](https://blog.joinmastodon.org)","A federated open-source alternative to social networking"
"2","Micro.blog","[Micro.blog](https://micro.blog)","[Manton Reece](https://www.manton.org)","A fast, safe, and independent community of microblogs"
"2","Publicist","[Publicist](https://roundwallsoftware.com/release-day/)","[Samuel Goodwin](https://roundwallsoftware.com)","A native app to make publishing to your Ghost and Wordpress blogs easier."
"2","Toot!","[Toot!](https://mastodon.social/@tootapp)","[Dag Ågren](https://mastodon.social/@WAHa_06x36)","A Mastodon client for iOS. Multi-instance, multi-account, fast, comfortable, and above all, a lot of fun!"
"2","Icro","[Icro](https://github.com/hartlco/Icro)","[Martin Hartl](https://hartl.co)","A free and open source Micro.blog client for iOS."
"3","Bear","[Bear](https://bear.app)","[Shiny Frog](https://blog.bear.app)","A beautiful, flexible writing app for crafting notes and prose"
"3","Byword","[Byword](https://bywordapp.com/)","Metaclassy","Markdown app for writing in plain text efficiently. Available for Mac, iPhone and iPad"
"3","iA Writer","[iA Writer](https://ia.net/writer)","[iA](https://ia.net/topics)","Markdown writing app that removes distractions, giving you a calm, focused writing space"
"3","nvALT","[nvALT](https://brettterpstra.com/projects/nvalt/)","[Brett Terpstra](https://brettterpstra.com/)","A fork of the original Notational Velocity with additional features and interface modifications."
"3","Ulysses","[Ulysses](https://ulysses.app)","[Ulysses GmbH & Co](https://ulysses.app/blog/)","A pleasant, focused writing experience with flexible exporting options"
"4","BBEdit","[BBEdit](https://www.barebones.com/products/bbedit/)","[Bare Bones](https://www.barebones.com)","A text editor that doesn&apos;t suck®"
"4","Coda","[Coda](https://panic.com/coda/)","[Panic](https://panic.com/blog/)","A well-rounded Mac & iOS application for coding websites by our friends at Panic"
"4","CotEditor","[CotEditor](https://coteditor.com)","[CotEditor Project](https://github.com/coteditor/)","A light-weight, neat, yet powerful text editor."
"4","Fork","[Fork](https://git-fork.com)","[Danil Pristupov](https://git-fork.com/about)","A fast and friendly git client for Mac and Windows"
"4","Glitch","[Glitch](https://glitch.com/)","[Glitch](https://glitch.com/)","Glitch is the friendly community where everyone can discover and create the best stuff on the web."
"4","Script Debugger","[Script Debugger](https://latenightsw.com/)","[Late Night Software](https://latenightsw.com/)","The full power of applescript automation. Experience applescript made easy."
"4","Sublime Text","[Sublime Text](https://www.sublimetext.com/)","[Sublime](https://www.sublimetext.com/blog/)","A cross-platform, highly extensible text editor"
"4","TextMate","[TextMate](https://www.macromates.com/)","[Macromates](https://sigpipe.macromates.com)","Powerful and customizable text editor with support for a huge list of programming languages and developed as open source."
"5","Castamatic","[Castamatic](http://castamatic.com)","[Gunp Media Productions](https://castamatic.com/blog/)","A podcast app for iOS with advanced audio features."
"5","Castro","[Castro](http://supertop.co/castro/)","[Supertop](https://blog.supertop.co)","An iOS podcast app focused on tracking a broad range of shows without getting overwhelmed"
"5","Downcast","[Downcast](http://www.downcastapp.com)","[George Cox](http://www.downcastapp.com/blog.html)","A very cool podcast player for iOS, Mac, Apple Watch, and CarPlay"
"5","Overcast","[Overcast](https://overcast.fm)","[Marco Arment](https://marco.org)","A powerful yet simple podcast player for iPhone, iPad, and Apple Watch"
"5","Pocket Casts","[Pocket Casts](https://www.pocketcasts.com)","[Podcast Media LLC](https://blog.pocketcasts.com)","A powerful, easy-to-use app for managing your podcast listening across Android, iOS, and the Web"
"5","Podcast Chapters","[Podcast Chapters](https://chaptersapp.com/)","[Fredrik Björeman](https://www.bjoreman.com)","A Mac app to add, view and edit chapters and other ID3 metadata"
"5","Wavelength","[Wavelength](https://help.micro.blog/2018/microcasting/)","[Micro.blog](https://micro.blog)","Record, edit, and publish a microcast (short-form podcast) to your microblog"
"6","Instapaper","[Instapaper](https://www.instapaper.com/)","[Instant Paper](https://blog.instapaper.com/)","Save anything, read anywhere"
"6","Indiepaper","[Indiepaper](https://www.indiepaper.io)","[Jonathan LaCour](https://cleverdevil.io)","A read-later service built for the open web"
"6","Pinboard","[Pinboard](https://pinboard.in)","[Maciej Cegłowski](https://blog.pinboard.in)","A no-nonsense bookmarking site for people who value privacy and speed"
"6","Pocket","[Pocket](https://getpocket.com)","[Read It Later](https://blog.getpocket.com)","Save articles, videos, and stories from any publication, page or app."
"7","500px","[500px](https://web.500px.com)","[500px](https://iso.500px.com)","A photo sharing community catering to professional photographers"
"7","Flickr","[Flickr](https://www.flickr.com)","[Flickr Team](https://blog.flickr.net/en)","Photo sharing & organizing, and one of the original photo-based social networks"
"7","Sunlit","[Sunlit](http://sunlit.io)","[Micro.blog](https://micro.blog)","Publish photos to your own blog and discover beautiful photos from other users"
"8","Acorn","[Acorn](https://flyingmeat.com/acorn/)","[Flying Meat](https://flyingmeat.com/blog/)","A powerful image editor that feels right at home on a Mac"
"8","Affinity","[Affinity Designer](https://affinity.serif.com/en-us/designer/) & [Photo](https://affinity.serif.com/en-us/photo/)","[Serif](https://affinity.serif.com/en-us/)","Design and photo editing software for Mac and iPad"
"8","GraphicConverter","[GraphicConverter](https://www.lemkesoft.de/en/products/graphicconverter/)","[Lemke Software](https://www.lemkesoft.de/)","‎The original swiss army knife of photo editing on the Mac."
"8","Hype","[Hype](https://tumult.com/hype/)","[Tumult](https://blog.tumult.com)","‎Create stunning animated and interactive web content with Hype"
"8","Pixelmator","[Pixelmator](https://www.pixelmator.com/pro/)","[Pixelmator Team](https://www.pixelmator.com/blog/)","An image editor for Mac and iOS designed to make the most powerful professional image editing tools accessible to everyone"
"9","Postgres.app","[Postgres.app](https://postgresapp.com)","Jakob Egger and Chris Pastl","The easiest way to get started with PostgreSQL on the Mac"
"9","Postico","[Postico](https://eggerapps.at/postico/)","[Egger Apps](https://eggerapps.at)","A Modern PostgreSQL Client for the Mac"
"9","Table Tool","[Table Tool](https://github.com/jakob/TableTool)","Sandro Peham, Andreas Aigner, and Jakob Egger","A simple CSV editor for the Mac"
